코드값,코드값의미,위험도점수
UQA000,도시지역미분류,0
UQA100,주거지역,1.0
UQA110,전용주거지역,1.0
UQA111,제1종전용주거지역,1.0
UQA112,제2종전용주거지역,2.0
UQA120,일반주거지역,3.0
UQA121,제1종일반주거지역,4.0
UQA122,제2종일반주거지역,4.0
UQA123,제3종일반주거지역,6.0
UQA130,준주거지역,6.0
UQA200,상업지역,8.0
UQA210,중심상업지역,8.0
UQA220,일반상업지역,8.0
UQA230,근린상업지역,8.0
UQA240,유통상업지역,8.0
UQA300,공업지역,10.0
UQA310,전용공업지역,10.0
UQA320,일반공업지역,10.0
UQA330,준공업지역,10.0
UQA400,녹지지역,0.0
UQA410,보전녹지지역,0.0
UQA420,생산녹지지역,0.0
UQA430,자연녹지지역,0.0
UQA500,도시지역미지정,0.0
UQA999,도시지역기타,0.0
